number,Type,Name,Traffic,Line,City,District
90,Metro,SEVRES-BABYLONE,2441636,"10, 12",Paris,7
76,Metro,BASILIQUE DE SAINT-DENIS,2616421,13,Saint Denis,other
171,Metro,SAINT-AMBROISE,1544174,9,Paris,11
72,Metro,SAINT-DENIS-UNIVERSITE,2626602,13,Saint Denis,other
100,Metro,ROBESPIERRE,2281953,9,Montreuil,other
92,Metro,PONT DE LEVALLOIS-BECON,2404120,3,Levallois-Perret,other
79,Metro,PLAISANCE,2590236,13,Paris,14
185,Metro,PERNETY,1395770,13,Paris,14
77,Metro,HOCHE,2616315,5,Pantin,other
101,Metro,BONNE NOUVELLE,2254643,"8, 9",Paris,10
98,Metro,FORT D'AUBERVILLIERS,2328764,7,Aubervilliers,other
86,Metro,OBERKAMPF,2462989,"5, 9",Paris,11
186,Metro,MAISONS-ALFORT-STADE,1393467,8,Maisons -Alfort,other
80,Metro,PORTE DE SAINT-CLOUD,2576290,9,Paris,16
104,Metro,VILLIERS,2244643,"2, 3",Paris,17
99,Metro,RICHELIEU-DROUOT,2313492,"8, 9",Paris,9
95,Metro,MAIRIE DE SAINT-OUEN,2373142,"13, 14",Saint Ouen,other
187,Metro,RAMBUTEAU,1389112,11,Paris,3
83,Metro,PERE LACHAISE,2503028,"2, 3",Paris,20
106,Metro,PEREIRE,2221107,3,Paris,17
108,Metro,CHARLES MICHELS,2198392,10,Paris,15
97,Metro,PORTE DE PANTIN,2336476,5,Paris,19
188,Metro,RUE DES BOULETS,1383972,9,Paris,11
91,Metro,ODEON,2412888,"4, 10",Paris,6
107,Metro,ALESIA,2204961,4,Paris,14
110,Metro,GLACIERE,2184910,6,Paris,13
115,Metro,LAUMIERE,2107812,5,Paris,19
190,Metro,PASSY,1380218,6,Paris,16
94,Metro,COLONEL FABIEN,2378863,2,Paris,10
114,Metro,BERAULT,2112213,1,Vincennes,other
111,Metro,MENILMONTANT,2171543,2,Paris,11
118,Metro,OURCQ,2064168,5,Paris,19
193,Metro,SAINT-PHILIPPE-DU-ROULE,1353374,9,Paris,8
102,Metro,PORTE DE BAGNOLET,2244934,3,Paris,20
121,Metro,BOULOGNE-JEAN JAURES,2016202,10,Boulogne Billancourt,other
112,Metro,EGLISE DE PANTIN,2139986,5,Pantin,other
119,Metro,PORTE DE SAINT-OUEN,2060676,13,Paris,17
197,Metro,LOUVRE,1328080,1,Paris,1
103,Metro,LE KREMLIN-BICETRE,2244686,7,Kremlin-Bic¨ºtre,other
128,Metro,ECOLE MILITAIRE,1863016,8,Paris,7
113,Metro,LA MUETTE,2114924,9,Paris,16
120,Metro,PORTE DES LILAS,2021179,"3bis, 11",Paris,20
200,Metro,LES AGNETTES,1283180,13,Asni¨¨res sur Seine,other
116,Metro,MAIRIE D'ISSY,2083392,12,Issy Les Moulineaux,other
140,Metro,CHAMPS-ELYSEES-CLEMENCEAU,1735350,"1, 13",Paris,8
117,Metro,CHATEAU D'EAU,2069680,4,Paris,10
125,Metro,CRETEIL-UNIVERSITE,1935234,8,Cr¨¦teil,other
201,Metro,PORTE DE LA CHAPELLE,1276901,12,Paris,18
124,Metro,DUROC,1972711,"10, 13",Paris,7
143,Metro,BOBIGNY-PANTIN-RAYMOND QUENEAU,1726493,5,Pantin,other
122,Metro,VICTOR HUGO,1991304,2,Paris,16
130,Metro,ARTS ET METIERS,1844332,"3, 11",Paris,3
202,Metro,PLACE MONGE,1269871,7,Paris,6
126,Metro,CHEVALERET,1923876,6,Paris,13
148,Metro,GARIBALDI,1697555,13,Saint Ouen,other
127,Metro,JUSSIEU,1891986,"7, 10",Paris,5
131,Metro,DUPLEIX,1839499,6,Paris,15
208,Metro,BROCHANT,1227003,13,Paris,17
132,Metro,GONCOURT,1829817,11,Paris,11
150,Metro,CRETEIL-POINTE DU LAC,1684557,8,Cr¨¦teil,other
129,Metro,ALEXANDRE DUMAS,1849785,2,Paris,11
136,Metro,JULES JOFFRIN,1806947,12,Paris,18
215,Metro,CARREFOUR PLEYEL,1205747,13,Saint Denis,other
134,Metro,CHARONNE,1815517,9,Paris,12
